id,Title,authorFirst,authorLast,Price,Avail,Cover,Condition,ImageURL,Tags,createdAt,updatedAt
120,Man's Search for Meaning,Viktor,Frankl,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/41s4xJZlEYL.jpg,philosophy,6/2/2019 21:12,6/2/2019 21:12
121,Nuts!,Kevin,Freiberg,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51SVZMNoeAL._SX331_BO1,204,203,200_.jpg",business,6/2/2019 21:12,6/2/2019 21:12
122,The Interpretation of Dreams,Sigmund,Freud,8,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41vFaFBXl1L._SX327_BO1,204,203,200_.jpg",philosophy,6/2/2019 21:12,6/2/2019 21:12
123,Civilization and Its Discontents,Sigmund,Freud,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41yKQFlekAL._SX316_BO1,204,203,200_.jpg",philosophy,6/2/2019 21:12,6/2/2019 21:12
124,What Every Real Estate Investor Needs to Know About Cash Flow,Frank,Gallinelli,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51fTL6n23yL._SX331_BO1,204,203,200_.jpg",real estate,6/2/2019 21:12,6/2/2019 21:12
125,Gandhi,Mahatma,Gandhi,5,0,soft,,https://www.mkgandhi.org/images/autobio-deluxe.jpg,biography,6/2/2019 21:12,6/2/2019 21:12
126,The Solution to Social Anxiety,Aziz,Gazipura,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51cLbWtSUHL.jpg,"selfhelp, social",6/2/2019 21:12,6/2/2019 21:12
127,Tales From Both Sides of the Brain,Michael,Gazzaniga,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/51pVe32Hn5L._SX330_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
128,The E-Myth Revisited,Michael,Gerber,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51MPu8oSjcL._SX330_BO1,204,203,200_.jpg","marketing, business",6/2/2019 21:12,6/2/2019 21:12
129,How to Have Confidence and Power in Dealing with People,Les,Giblin,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81b%2B3mJs3sL.jpg,"selfhelp, social",6/2/2019 21:12,6/2/2019 21:12
130,Manology,Tyrese,Gibson,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/518CG6R7l%2BL._SX326_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
131,Stumbling Upon Happiness,Daniel,Gilbert,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51OOOMK5tcL.jpg,"psychology, selfhelp",6/2/2019 21:12,6/2/2019 21:12
132,The Shyness Solution,Catherine,Gillet,5,0,soft,,https://images.gr-assets.com/books/1356033808l/17038052.jpg,"selfhelp, social",6/2/2019 21:12,6/2/2019 21:12
133,13 Essential Rules of Selling,Joe,Girard,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51GulfJQD%2BL._AC_SY400_.jpg,selling,6/2/2019 21:12,6/2/2019 21:12
